,description,title,url,company_name,location,salary,html_content
0,"Company DescriptionZerova Technologies EMEA, based in Amsterdam, is a global leader specializing in the design and production of cutting-edge DC charging solutions. With over 50 years of manufacturing excellence, we provide innovative, reliable solutions tailored to meet the unique needs of our partners. Our values include a global reach with local expertise and crafting solutions to fit every partner's needs.Role DescriptionThis is a full-time on-site role for an Infrastructure Systems Engineer at Zerova Technologies EMEA in Amsterdam. The Infrastructure Systems Engineer will be responsible for troubleshooting, system and network administration, providing technical support, and ensuring network security.Qualifications2+ years of experience in similar positionsTroubleshooting, System Administration, and Network Administration skillsTechnical Support and Network Security expertiseStrong problem-solving and analytical abilitiesExperience with cloud technologies and virtualizationKnowledge of IT infrastructure best practicesExcellent communication and teamwork skillsRelevant certifications (e.g., CCNA, CompTIA Network+)Bachelor's degree in Computer Science, Information Technology, or related fieldExcellent English communication skills, both written and verbal",Infrastructure Systems Engineer,https://www.linkedin.com/jobs/search/?currentJobId=4091920441,,,,
1,"Maak impact met jouw talent!Bij Trybes werk je samen met non-profitorganisaties die zich inzetten voor een betere wereld. Als Front-End Developer speel jij een cruciale rol in het ontwerpen en ontwikkelen van responsive, dynamische websites en portals die bijdragen aan maatschappelijke impact.Bij Trybes combineren we onze passie voor technologie en marketing om non-profitorganisaties digitaal te laten groeien. Ons team van toegewijde developers en marketeers werkt samen aan projecten voor klanten zoals Greenpeace, Save the Children en de Hersenstichting. We zijn trots op onze bijdrage aan een betere wereld.Over de rolWe zoeken een Front-End Developer (junior, medior) met een specialisatie in WordPress. Je werkt aan het bouwen en onderhouden van websites, webshops en eenvoudige applicaties. Houd je ervan om pixel-perfect en gebruiksvriendelijke designs om te zetten naar snelle, responsive websites? Dan ben jij degene die we zoeken!
Wat ga je doen?Ontwikkelen en doorontwikkelen van maatwerk WordPress-websites en webshops.Omzetten van designs (gemaakt in Figma) naar pixel-perfect responsive websites.Ontwerpen en implementeren van maatwerk templates in WordPress.Werken met HTML, CSS (Sass) en JavaScript om dynamische en moderne front-ends te realiseren.Zorgen voor optimale prestaties en responsive design (desktop én mobiel).Afhankelijk van je ervaring: klantgesprekken voeren en project demo's geven.Samenwerken in een enthousiast team, met ruimte voor eigen ideeën en ontwikkeling.
Wie ben jij?Je hebt ervaring met het bouwen van WordPress-websites en maatwerk templates.Je bent vaardig in front-end technologieën zoals HTML, CSS (Sass) en JavaScript.Ervaring met Figma voor het maken en uitwerken van webdesigns is een hele grote pré.Je hebt oog voor detail en zorgt dat designs pixel-perfect worden omgezet naar functionele websites.Je weet hoe je websites kunt optimaliseren voor snelheid en zoekmachines (SEO).Ervaring met tools zoals Git, Photoshop en Illustrator is een pluspunt.Kennis van PHP en WooCommerce is een pré.Je werkt zelfstandig, toont initiatief en hebt een proactieve houding.Je beschikt over minimaal MBO+ of HBO werk- en denkniveau.
Heb je niet alle skills, maar wil je deze graag leren? Geen probleem! We kijken verder dan diploma’s. Soms zeggen je werk en ervaring meer dan een specifiek papiertje. Als jij gemotiveerd bent en een passie hebt voor websites en front-end ontwikkeling, gaan we graag met je in gesprek!

Wat bieden wij jou?Een parttime of fulltime dienstverband (32-40 uur per week).Flexibele werktijden en de mogelijkheid om deels thuis te werken.Reiskostenvergoeding en een goed uitgerust kantoor in Amsterdam Zuidoost.Een MacBook (Pro) en alle benodigde apparatuur (inclusief tweede scherm).Ruimte voor persoonlijke ontwikkeling en eigen initiatieven.Salaris dat meegroeit met jouw ervaring en vaardigheden.Een enthousiast, informeel team dat samenwerkt aan betekenisvolle projecten.",Front-endontwikkelaar,https://www.linkedin.com/jobs/search/?currentJobId=4084206092,,,,
2,"Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?

We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.

About the opportunity:

Outlier is looking for talented coders to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for you

You may contribute your expertise by…

Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI models

Examples of desirable expertise:

Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++Ability to articulate complex concepts fluently in EnglishExcellent attention to detail, including grammar, punctuation, and style guidelines

Payment:

Currently, pay rates for core project work by Tier 2 coding experts in Netherlands €27 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.

PLEASE NOTE: We collect, retain and use personal data for our professional business purposes, including notifying you of opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with the Outlier Privacy Policy and our internal policies and programs designed to protect personal data.

This is a 1099 contract opportunity on the Outlier.ai platform. Because this is a freelance opportunity, we do not offer internships, sponsorship, or employment. You must be authorized to work in your country of residence. If you are an international student, you may be able to sign up for Outlier if you are on a visa. You should contact your tax and/or immigration advisor with specific questions regarding your circumstances.",Coding Expertise for AI Training - Tier 2 - Non US,https://www.linkedin.com/jobs/search/?currentJobId=4085331901,,,,
3,"Who are we looking for?BlockTech is a high-paced algorithmic trading firm facilitating global trading in cryptocurrency while expanding into regulated markets. We are growing like never before and we are looking for a Quantitative Developer who wants to join us in this exciting scale-up phase!
What will you do?Collaborate directly with Traders and Developers on the trading floor to evaluate and improve our modelsExplore new trading opportunities and develop back-testing toolsTest your ideas on high-volume market data and implement them in production
What do we require from you?An academic degree in Econometrics, Mathematics, Physics or any other quantitative field with excellent study results (cum laude or higher)Experience working with Python, C++ and/or RustGood written and verbal communication skills in EnglishProven versatility and ability to pick up new technologies and learn systems quicklyA positive can-do attitude and a creative mindWillingness to commit long-term
What is in it for you?Full-time position in a relaxed and trendy office located in Amsterdam.Competitive base salary, a pension plan, and a very attractive bonus plan based on your performance and the company’s results.Additionally, outstanding performance is rewarded with the opportunity to buy into the trading fund.Laptop, home office budget, reimbursement of your internet costs at home, and transportation allowance, including a company bike plan.Breakfast and warm lunch. Additionally, snacks and drinks are provided throughout the day.Extensive in-house training program in combination with an annual learning & development budget.Physical and mental wellness program: Reimbursement of gym membership; frequent sports events; the opportunity to do all kinds of sports during working hours, including kickboxing, CrossFit, fitness, padel, and soccer; in-house gym; in-house physiotherapist, barber, and masseur; unlimited access to a psychologist.Regular social events, including bi-annual trips abroad, monthly outings, and weekly Friday drinksFor internationals: All-in relocation package and Dutch classes
Our cultureAt our core, we are a team of passionate trading and tech enthusiasts committed to revolutionizing trading through automation. Our collaborative approach ensures that everyone contributes to achieving our ambitious goals.In this role, you will be both challenged and stretched, with ample opportunities for growth and development, both within and beyond your main responsibilities.We invest in our people by offering competitive compensation and benefits, fostering innovation, and celebrating success. Our commitment to personal development transcends traditional norms; we provide an equal playing field, promote reverse leadership, and offer boundless growth opportunities for all our employees.Join us to unlock your potential and drive innovation in the exciting world of algorithmic trading.",Quantitative Developer,https://www.linkedin.com/jobs/search/?currentJobId=4093390940,,,,
4,"(Python) backend developer bij Sofa Superstars gezocht!
Sofa Superstars is op zoek naar een backend developer die onze Fantasy Sportgames naar een volgend niveau kan tillen! Heb jij een passie voor sport, kent de techniek achter Coach van het Jaar, Wielerflits Ploegleider en GP Teammanager geen geheimen voor jou, speel je misschien zelf onze spellen en ben je op zoek naar een nieuwe uitdaging? Dan zoeken we jou als backend developer van Sofa Superstars!
Over Sofa Superstars:
Sofa Superstars is al jaren uitgever van Coach van het Jaar, Grand Prix Teammanager en Wielerflits Ploegleider. Wie van voetbal, Formule 1 of wielrennen houdt, is bij ons aan het goede adres, want een jaar lang ben je verzekerd van de leukste Fantasy Sportgames.
Onze kroonjuweel Coach van het Jaar, gericht op de Eredivisie, bestaat al bijna 30 jaar en is met ruim 30.000 deelnemers ons belangrijkste spel. Jaarlijks spelen ruim 50.000 mensen onze zeven Fantasy-spellen en met jou in ons team hopen we de volgende stap te zetten!
Functieomschrijving:
Als backend developer van Sofa Superstars ben je verantwoordelijk voor het doorontwikkelen en onderhouden van de backend-systemen van al onze spellen. Bovendien voorzie je de games van de leukste features en speel jij een cruciale rol bij de livegang van onze nieuwe apps en het lanceren van nieuwe games!
Je werkt nauw samen met ons gepassioneerde team en onze Head of Games. Op belangrijke momenten voor de games houd je uiteraard een extra oogje in het zeil, soms ook in het weekend. Je kan deze baan thuis doen vanachter je laptop, maar je bent ook van harte welkom op ons kantoor in het centrum van Amsterdam.
Verantwoordelijkheden: Het ontwerpen, ontwikkelen, lanceren, en onderhouden van game logica en API’s.Optimaliseer prestaties en schaalbaarheid van bestaande systemen.Werk samen met front-end ontwikkelaars om alle features optimaal te laten werken.Identificeer en los problemen op om een soepele gebruikerservaring te garanderen.Blijf op de hoogte van de nieuwste technologische ontwikkelingen en trends in backend-ontwikkeling en devops.
Vereisten:Sterke ervaring met backend-ontwikkeling, bij voorkeur met Python en Django.Diepgaande kennis van databases zoals PostgreSQL en Redis.Ervaring met het ontwerpen en implementeren van RESTful API's.Enige ervaring met devops, inclusief aanverwante tools zoals Docker en Kubernetes.Uitstekende probleemoplossende en communicatieve vaardigheden.Passie voor gaming en sport is een pluspunt.
Pre’sErvaring met React.Ervaring met Flutter.Passie voor gaming en sport.
Wat bieden wij:Een stimulerende en collaboratieve werkomgeving met een focus op innovatie.Kans om te werken aan de leukste Fantasy Sportgames met een groot bereik.Mogelijkheden voor professionele groei en ontwikkeling.Marktconform salaris en secundaire arbeidsvoorwaarden.Flexibele werktijden en mogelijkheid tot remote werken.",(Python) backend developer,https://www.linkedin.com/jobs/search/?currentJobId=4036488959,,,,
5,"Ben jij klaar om je carrière in data te kickstarten? Vanaf februari 2025 bieden we een unieke kans om deel te nemen aan ons 2,5-jarig programma dat je opleidt tot Data Engineer en je klaarstoomt om een impact te maken in de wereld van data. Salaris vanaf dag 1, intensieve training, en uitdagende projecten bij topbedrijven – dit is jouw moment!

Functieomschrijving

Nimbus Intelligence, onderdeel van The Information Lab, staat voor de kracht van data. Bij Nimbus ondersteunen we organisaties in hun data journey door hen te begeleiden naar een besluitvorming die is gebaseerd op feiten en cijfers in plaats van onderbuikgevoelens. Onze engineers zijn gespecialiseerd in toonaangevende tools zoals Snowflake, dbt en Python. Met onze expertise ontwerpen en realiseren we datastromen die perfect aansluiten op de unieke behoeften van onze klanten.

We gaan met ons programma de volgende generatie Data Engineers en Snowflake Data Superheroes opleiden. De data engineering markt is enorm aan het groeien en de vraag naar Engineers blijft toenemen. De rol, die jij gaat krijgen, is het ontwerpen en opzetten van analyse databases en data pijplijnen om gegevens te transformeren naar een indeling, die data scientists en analisten in staat stelt deze gemakkelijk te gebruiken. Zij kunnen vervolgens uit deze data inzichten halen, die relevant zijn voor hun organisaties om succesvol te kunnen opereren.

We bereiden je voor op de toekomst. Onze missie; de volgende generatie Data Engineers opleiden. In deze rol ga je;

Data-pijplijnen ontwerpen en bouwen waarmee organisaties gegevens kunnen verzamelen, transformeren en benutten.Efficiënte datastructuren ontwikkelen die data scientists en analisten ondersteunen bij het genereren van waardevolle inzichten.


Voel jij aan alles dat je gebonden bent aan onze functie en ons doel? Mooi! Hieronder kort omschreven wat je kunt verwachten.

Over het programma

Start met 3 maanden intensieve training; Dagelijks les op ons kantoor in Amsterdam, inclusief theorie, hands-on oefeningen en praktijkcases.Werkervaring opdoen; Aan de slag bij diverse opdrachtgevers, gemiddeld 6 maanden per project. Zo verzamel je een breed scala aan ervaring.Doorlopende begeleiding; Van technische kennis tot soft skills zoals communicatie, samenwerking en kritisch denken – we coachen je op alle vlakken.


Na 2,5 jaar ben jij klaar om als een ervaren Data Engineer de arbeidsmarkt te veroveren.

Wij vragen

Wij zoeken een mix van verschillende achtergronden, culturen en geslachten, zoals we dit al jaren doen bij The Information Lab, omdat we geloven dat diversiteit leidt tot innovatieve oplossingen, een inclusieve werkomgeving en het beste resultaat voor onze klanten.

Ben jij iemand met;

Passie voor data en een sterke wil om te leren.Een diploma in informatica, engineering, statistiek, wiskunde of datawetenschap.Ervaring of interesse in Python en SQL – spelen met code uit eigen interesse is genoeg!Een nieuwsgierige mindset en doorzettingsvermogen.Vloeiend Nederlands en uitstekende Engelse taalvaardigheid.Woonachtig in Nederland (bij voorkeur regio Randstad) 


Wij bieden

Tijdens onze intensieve training van drie maanden word je vijf dagen per week (maandag tot en met vrijdag) klaargestoomd tot een volwaardige Data Engineer. Tijdens deze periode verdiep je je in essentiële technieken zoals database-structuren, data engineering best practices, en tools zoals Snowflake, SQL, CI/CD, ETL/ELT, Python. Ook leer je werken met integratieplatformen zoals Tableau en Alteryx.

Naast technische kennis besteden we veel aandacht aan jouw persoonlijke ontwikkeling. Denk hierbij aan het versterken van soft skills zoals communicatie- en presentatievaardigheden, kritisch denken, doorvragen, en effectief samenwerken. Na je training krijg je de kans om als consultant te werken voor interessante organisaties binnen Nederland, en mogelijk daarbuiten.

Wat maakt dit programma bijzonder?

Leren en betaald krijgen; Vanaf dag één ontvang je een volledig salaris i.c.m. secundaire voorwaarden, ook tijdens je opleiding.Zekerheid na afloop; Bij succesvolle afronding van de trainingsperiode krijg je een contract voor onbepaalde tijd.Persoonlijke begeleiding; Dankzij kleinschalige klassen van 8 deelnemers krijg je volop aandacht en ondersteuning van een tutor.Carrièreperspectief; Je werkt toe naar een toekomst in een vakgebied met een grote vraag naar getalenteerde professionals.


Daarnaast bieden we een veilige en inclusieve werkomgeving waarin je jezelf kunt ontwikkelen zonder zorgen over discriminatie of andere ongewenste situaties. Je investeert niet alleen in kennis, maar ook in een veelbelovende carrière.

Over The Information Lab Netherlands B.V.

Bij The Information Lab helpen ze bedrijven om datagedreven te werken. Van onderbuikgevoel naar onderbouwde beslissingen. Ze zijn betrokken bij alle aspecten van dit proces, van het verstrekken van de eerste licentie tot het helpen bij de uitrol binnen de gehele organisatie.

Hoe nu verder?

Ben jij geinteresseerd in bovenstaand profiel voor Trainee Data Engineer? The Information Lab Netherlands B.V. ziet graag jouw sollicitatie tegemoet! Door middel van het klikken op de solliciteerbutton kom je in een overzichtelijk sollicitatiescherm waar je met jouw CV kan reageren op de vacature van Trainee Data Engineer.

",Trainee Data Engineer,https://www.linkedin.com/jobs/search/?currentJobId=4092513515,,,,
6,"Wat ga je doen en waar draag je aan bij?

Als Integratie Specialist draag je bij aan de ontwikkeling van systeemintegraties in Azure en de verdere groei van het Integratie team binnen Waternet. Samen met het team werk je aan het ontsluiten van databronnen en het veilig en efficiënt integreren en publiceren van processen. Het publiceren van API’s gebeurt via het Azure API Management platform, waarbij ook gebruik wordt gemaakt van Logic Apps, Function Apps, Azure Integration Account en de Azure Service Bus om systeemintegraties te realiseren.

Taken en verantwoordelijkheden:


Adviseren, analyseren, ontwerpen en ontwikkelen van veilige integraties met behulp van Azure Integration Services. Uniform publiceren/ontsluiten van interne en externe API’s via het API-platform. Adviseren, analyseren, ontwerpen, ontwikkelen en documenteren van integraties tussen verschillende applicaties met behulp van Logic Apps, Function Apps & Azure Service Bus. Ontwikkelen en uitbreiden van CI/CD (YAML) pipelines voor build, validatie, tests en deployment van API’s. Implementeren en verbeteren van Security, Monitoring en Alerting in Azure Monitor voor het Integratie Platform. Werken in een Scaled Agile Framework (SAFe) 


Welkom in het team

Ons team bestaat ui 10 collega's. We werken nauw samen als een zelf organiserend team, bestaande uit een Product Owner, Scrum Master, Business Analist en Integratie specialisten. We streven voortdurend naar innovatie en samenwerking, zowel binnen ons team als met andere teams binnen Waternet.

Momenteel ligt onze focus op de implementatie van het drinkwater- en afvalwateraansluitingsproces via het Digitaal Samenwerkings Platform (DSP), in samenwerking met diverse teams binnen Waternet. Onze livegang met DSP staat gepland voor Q2 2024, terwijl we blijven werken aan de professionalisering en automatisering van cruciale aspecten zoals beheer, alerting, monitoring, security, back-up en recovery.

Wat breng je mee? 


HBO/WO werk- en denkniveau. Goede beheersing van de Nederlandse taal. Ervaring met het Azure platform: API Management, Logic Apps, Function Apps, Integration Account en Service Bus. Ervaring met IaC (ARM, BICEP). Ervaring met het werken in een Agile team (Scrum). Ervaring met het ontwerpen, ontwikkelen en documenteren van API’s (SOAP, REST, OAS). 


Dit krijg je ervoor terug

Als je bij Waternet werkt, heb je uitstekende arbeidsvoorwaarden:  


Tussen de €3.874 - €5.271 (schaal 10) bruto per maand voor 36 uur per week Goede secundaire arbeidsvoorwaarden op basis van de cao Werken voor waterschappen. Je ontvangt boven op je salaris een Individueel Keuze Budget van maar liefst 21%. Dit kan je laten uitbetalen in extra vrije dagen, een opleiding of salaris. Mogelijkheid om je werkzaamheden zowel thuis als op kantoor uit te voeren Mogelijkheid tot flexibele werktijden, afhankelijk van je werkzaamheden Een ruim opleidingsbudget van €6.000,- (per 5 jaar) Een reiskostenvergoeding van €0,21 netto per kilometer of een vergoeding op basis van 2e-klasse woon-werk verkeer. Een thuiswerkvergoeding van €3,- netto per thuiswerkdag Een vergoeding (€850,-) om je thuiswerkplek in te richten Een pensioenverzekering via het ABP Pensioenfonds 


Werken bij Waternet

Bij Waternet werk je met een uniek product: water. Samen met zo’n 2000 collega’s zorgen we voor veilig drinkwater, schone grachten, rivieren en droge voeten. Waternet werkt met de nieuwste technieken en is bijna 100% klimaatneutraal. Bij ons werken echte vakmensen: van dijkinspecteur tot dataspecialist en van techneut tot teamleider. Al deze betrokken medewerkers maken Waternet samen tot een werkgever waar je jezelf kan zijn. Wij stimuleren je om elke dag een stukje beter te worden. Je vindt dan ook een groot aanbod aan opleidingen en trainingen bij onze eigen Waternet Academie.

Wij vragen onze nieuwe medewerkers om een geldige Verklaring Omtrent het Gedrag. Een assessment kan onderdeel uitmaken van de sollicitatieprocedure.

Nieuwsgierig?

Wil je meer weten over de vacature of heb je vragen over werken bij Waternet? Neem contact op met Warsha Ramkhelawan van recruitment. Zij is bereikbaar op warsha.ramkhelawan@waternet.nl of +31625047112.",API Integratie Specialist,https://www.linkedin.com/jobs/search/?currentJobId=4048981053,,,,
7,"Are you passionate about developing intelligent systems and driving innovation through machine learning? We are seeking a Machine Learning Engineer to join our talented team remotely. In this role, you will design, implement, and optimize machine learning models that solve complex problems and enhance our clients' capabilities. This position offers a remarkable opportunity to leverage your expertise and contribute to cutting-edge AI projects.

 Position Details:

 Location: Fully Remote  Employment Type: Full-Time 

 Your Responsibilities:

 Model Development: Design, develop, and deploy machine learning models to address various business challenges.  Data Analysis: Analyze large datasets to extract meaningful patterns and insights that inform model training and improvement.  Algorithm Optimization: Optimize existing algorithms for better performance, accuracy, and scalability.  Collaboration: Work closely with data scientists, engineers, and product managers to integrate machine learning solutions into products and services.  Research: Stay abreast of the latest research and trends in machine learning and apply relevant advancements to ongoing projects.  Documentation: Maintain comprehensive documentation of models, algorithms, and processes to ensure reproducibility and knowledge sharing.  Quality Assurance: Ensure the reliability and robustness of machine learning systems through rigorous testing and validation. 

Requirements

 Who We're Looking For:

 Educational Background: Bachelor’s or Master’s degree in Computer Science, Data Science, Artificial Intelligence, or a related field. A Ph.D. is a plus.  Professional Experience: Minimum of 2 years experience in machine learning engineering or a similar role.  Technical Skills: Proficient in programming languages such as Python or R, and experienced with machine learning frameworks like TensorFlow, PyTorch, or scikit-learn.  Analytical Thinking: Strong ability to analyze complex data sets and develop actionable insights.  Problem-Solver: Excellent problem-solving skills with a focus on innovative solutions.  Communication: Outstanding verbal and written communication skills, capable of explaining complex concepts to non-technical stakeholders.  Collaboration: Proven ability to work effectively within cross-functional teams in a remote setting.  Detail-Oriented: Meticulous attention to detail and a commitment to delivering high-quality work.  Continuous Learner: Eager to stay updated with the latest advancements in machine learning and AI technologies. 

Benefits

 Why Choose Us:

 Remote Flexibility: Enjoy the freedom to work from anywhere while maintaining a healthy work-life balance.  Professional Growth: Access to ongoing training, workshops, and mentorship from industry-leading machine learning professionals.  Career Advancement: Opportunities for promotion and career development within a forward-thinking organization.  Innovative Culture: Be part of a team that values creativity, experimentation, and continuous improvement.  Comprehensive Benefits: Receive a competitive benefits package, including health insurance, paid time off, and more.  Impactful Work: Contribute to projects that drive significant advancements and deliver tangible results for clients. 

Take the next step in your machine learning engineering career with us. Apply today and be part of a team that is shaping the future of intelligent systems!

",Machine Learning Engineer - Remote,https://www.linkedin.com/jobs/search/?currentJobId=4084852843,,,,
8,"Who are we? 

Avantium is a pioneer in the emerging industry of renewable and sustainable chemistry. We seek to take part in the opportunities of the transition towards a circular economy to create value for our stakeholders and society as a whole. Avantium's mission is to aid the transition to a fossil-free world by developing ground-breaking products based on renewable feedstock instead of fossil resources. Sustainable alternatives for fossil-based chemicals and materials include plastic bottles for drinks, films for food packaging and electronics, fibres for textiles and even material used in toys.

Avantium aims to be a world leader in renewable and sustainable chemistry and technology solutions and to commercialise them through partnerships and licensing. The company is best known for its PEF (polyethylene furanoate) – a fully plant-based, sustainable plastic material – that can be used in packaging, textiles, film, and everyday items that match today's world. It is an exciting time to join Avantium, as we are on the brink of scaling up to a first-of-a-kind commercial plant to produce PEF, unlocking the high potential of this novel, highly innovative plastic material PEF.

About Avantium RDS: Our R&D Solutions business unit

Avantium RDS is the leading provider of advanced catalyst testing units and services. We serve a wide range of global customers, using our extensive chemical and scientific expertise, combined with our process development and engineering skills to contribute to the emerging and fast-growing field of sustainable chemistry.

As a Field Software Engineer (FSOE), you will be responsible for deploying, configuring, and maintaining software at customer sites. You will work closely with customers to understand their requirements, provide technical support, and ensure the successful implementation of the software required to operate our hardware. This role requires a blend of technical expertise, problem-solving abilities, and excellent interpersonal skills.

Responsibilities



Install, configure, and test software applications at client locations or in-house.Setup dedicated databases in close cooperation with project teams and customers to allow them to run their experiments, travelling to their sites as required.Translate required operating modes and procedures into SQL scripts for executionParticipate in commissioning of units, customer training and supporting users in processing data and getting the right information from the databases.Provide remote or on-site technical support, maintenance and troubleshooting for software-related issues.Keep Project Leaders, Team leader Field Service and other relevant stakeholders updated about status, progress and issues within projects.Conduct training sessions for clients on the use and maintenance of software products.Document and report on service activities, including issues resolved and client feedback.Capturing feedback from both internal and external customers and register issues for follow up actions.Work with the development team to identify and address software bugs and improvements, providing expertise on software and databases.Update and write manuals and SOP's.



What do you bring?

As Field Software Engineer you minimally require a minimum of 2 relevant years of experience.

This role is perfect for you if you have the following knowledge and Skills:

MBO+ or HBO Informatics or technical direction with specialization in IT. Two years of experience in installing, operating and maintaining SQL Server databases and scripts (in Transact-SQL). Affinity with databases and software development.Experience with creating databases in both Microsoft SQL Server and AccessGood theoretical knowledge of databases structures and table designKnowledge of all Microsoft Operating system and Windows Network configuringCommand of English (speaking and writing)Extensive Knowledge of MS Office suite (including Word and Excel)Experienced with working in an international environment and cultural challengesExperience with frequent travelling and ad hoc changes in planningWilling to travel all over the world up till 25% of the timeExperience with Developing Software, preferably in C# (desirable)Experience in or knowledge of Process or Lab Automation (desirable)Experience in working with ERP software, preferably MS Navision (desirable)

What do we offer?

At RDS you will work in an advanced technological environment in a medium sized and profitable business unit. We are big enough to provide a good level of professionalism and small enough for everyone to make his or her own, meaningful contribution. Further

We offer a competitive compensation package, flexibility, and personal development in a multicultural company working with renowned, worldwide customers. The salary is between €3500 – €4200 per month depending on your experience. When traveling to customers, travel and accommodation expenses will be covered and you will be eligible for additional compensation.

Interested?

Interested candidates are invited to submit their resume and a cover letter detailing their qualifications and experience on our website. You can contact us for further questions at recruitment@avantium.com. Please note international travel is a mandatory requirement for this position. Candidates unable to travel abroad will not be considered for this vacancy.",Field Software Engineer,https://www.linkedin.com/jobs/search/?currentJobId=4068282263,,,,
9,"Flutter Engineer for Marxact (in Hilversum)
Our client, a young and growing scale-up is looking for a new team member to support their growth and development of the product in the position of a Flutter developer.
Our client has developed a new GNSS receiver that is catching on in the current market. With a combination of their hardware and software applications, they are already working with large multinationals such as Heijmans, BAM, etc.
You can generate an impact as a Flutter engineer in various ways, both for the device itself and the applications around it. You can grow yourself and make an impact on the product, contribute to the growth of a young and ambitious company, and develop yourself further.
Job RequirementsIdeally, a 1+ years experience in a similar positionProficiency in FlutterBackground in Computer Science
What does Marxact offer?Opportunity to learn and develop your skills on the jobCompetitive salaryTravel allowanceLearning budgetInformal and flat organizational culture",Mobile Engineer,https://www.linkedin.com/jobs/search/?currentJobId=4082498855,,,,
